hex,nacetyl,deoxyhexose,sialicacid,sulphate,amino,omethyl,oacetyl,pent,phosphate,glyconnect_id,glytoucan_id,mass
13,8,3,0,0,0,0,0,0,0,176,G93450DV,2891.0835
10,6,3,0,0,0,0,0,0,0,152,G34558ED,2322.8719
15,9,3,0,0,0,0,0,0,0,128,G12709VH,3256.2157
16,9,4,0,0,0,0,0,0,0,475,G98748DG,3564.3264
5,5,2,0,0,0,0,0,0,0,455,G98748DG,1325.5234
5,5,0,0,0,0,0,0,0,0,162,G98748DG,1033.4076
4,4,1,0,0,0,0,0,0,0,182,G98748DG,976.3861
7,7,2,0,0,0,0,0,0,0,753,G98748DG,1731.6822
5,5,1,0,0,0,0,0,0,0,511,G98748DG,1179.4655
5,2,2,0,0,0,0,0,0,0,141,G64162JC,1202.4436
3,0,2,0,0,0,0,0,0,0,668,G64162JC,796.2848
3,1,1,0,0,0,0,0,0,0,467,G11787ET,691.2535
3,1,2,0,0,0,0,0,0,0,492,G11787ET,837.3114
2,0,2,0,0,0,0,0,0,0,476,G11787ET,634.232
4,4,0,0,0,0,0,0,0,0,537,G11787ET,830.3282
1,1,1,0,0,0,0,0,0,0,43,G11787ET,367.1479
3,3,1,0,0,0,0,0,0,0,280,G11787ET,773.3067
2,2,0,0,1,0,0,0,0,0,326,G11787ET,504.1262
4,3,0,0,1,0,0,0,0,0,148,G11787ET,869.2584
4,3,1,0,1,0,0,0,0,0,437,G11787ET,1015.3163
5,3,0,0,1,0,0,0,0,0,201,G11787ET,1031.3112
3,3,0,0,1,0,0,0,0,0,111,G11787ET,707.2056
1,1,0,0,1,0,0,0,0,0,379,G11787ET,301.0468
5,2,0,0,0,0,0,0,0,0,507,G14669DU,910.3278
10,5,0,1,3,0,0,0,0,0,711,G65895WS,2374.6374
8,4,0,0,2,0,0,0,0,0,721,G35235JV,1638.453
12,6,0,1,4,0,0,0,0,0,407,G22390HK,2819.7264
10,5,0,0,3,0,0,0,0,0,266,G55388KB,2083.542
8,4,0,1,3,0,0,0,0,0,532,G67362RV,2009.5052
6,3,0,1,1,0,0,0,0,0,285,G47910AZ,1484.4594
10,5,0,1,2,0,0,0,0,0,650,G65803RU,2294.6806
6,3,0,0,1,0,0,0,0,0,715,G99125HS,1193.364
12,6,0,0,4,0,0,0,0,0,589,G84220KD,2528.631
8,4,0,1,2,0,0,0,0,0,278,G31688JN,1929.5484
12,6,0,1,3,0,0,0,0,0,850,G47759KR,2739.7696
4,1,0,0,1,1,0,0,0,0,307,G47759KR,801.1845
5,1,2,0,1,1,0,0,0,0,399,G47759KR,1255.3531
5,1,1,0,1,1,0,0,0,0,562,G47759KR,1109.2952
4,1,1,0,1,1,0,0,0,0,619,G47759KR,947.2424
4,2,2,0,2,0,0,0,0,0,514,G47759KR,1200.3044
6,3,0,2,1,0,0,0,0,0,12,G47759KR,1775.5548
5,3,0,2,0,0,0,0,0,0,771,G47759KR,1533.5452
6,4,0,0,0,0,0,0,0,0,657,G47759KR,1154.4338
3,2,1,2,0,0,0,0,0,0,655,G47759KR,1314.4709
3,2,1,1,1,0,0,0,0,0,543,G47759KR,1103.3323
8,4,2,1,0,0,0,0,0,0,685,G46524LG,2061.7506
8,4,1,0,0,0,0,0,0,0,350,G46687AB,1624.5973
8,4,0,1,0,0,0,0,0,0,547,G31916IQ,1769.6348
8,4,3,1,0,0,0,0,0,0,337,G25278BX,2207.8085
5,2,0,1,0,0,0,0,0,0,63,G15531AF,1201.4232
9,4,3,0,0,0,0,0,0,0,110,G25451PN,2078.7659
5,2,1,1,0,0,0,0,0,0,332,G88779RV,1347.4811
8,4,2,0,0,0,0,0,0,0,213,G74430RZ,1770.6552
6,3,2,1,0,0,0,0,0,0,756,G74430RZ,1696.6184
6,2,2,0,0,0,0,0,0,0,216,G73361JJ,1364.4964
11,5,0,3,0,0,0,0,0,0,330,G47518TP,2879.0106
11,5,1,3,0,0,0,0,0,0,627,G15169WU,3025.0685
8,5,1,0,0,0,0,0,0,0,538,G10256JP,1665.6239
9,5,2,0,0,0,0,0,0,0,37,G70418MS,1973.7346
2,1,1,1,0,0,0,0,0,0,378,G70418MS,820.2961
6,4,1,1,0,0,0,0,0,0,177,G70418MS,1591.5871
4,2,2,1,0,0,0,0,0,0,681,G47256GA,1331.4862
13,5,2,0,0,0,0,0,0,0,188,G21153FA,2621.9458
13,5,3,0,0,0,0,0,0,0,244,G40142JY,2768.0037
13,5,2,1,0,0,0,0,0,0,366,G63760GT,2913.0412
6,1,0,0,0,0,0,0,0,0,158,G60232GL,1031.354
2,0,1,0,0,0,0,0,0,0,420,G60232GL,488.1741
3,0,2,0,0,1,0,0,0,0,680,G60232GL,810.2641
3,0,1,0,0,1,0,0,0,0,183,G60232GL,664.2062
6,2,0,1,0,0,0,0,0,0,545,G91331SN,1363.476
7,3,0,1,0,0,0,0,0,0,32,G72291OX,1566.5554
9,6,1,0,0,0,0,0,0,0,192,G50757KG,1868.7033
8,5,0,2,0,0,0,0,0,0,66,G54567CI,2101.7568
9,6,0,0,0,0,0,0,0,0,551,G14260UH,1722.6454
7,5,0,0,0,0,0,0,0,0,329,G14260UH,1357.5132
6,4,0,1,0,0,0,0,0,0,540,G14260UH,1445.5292
8,5,1,1,0,0,0,0,0,0,84,G85228QD,1956.7193
6,4,1,2,0,0,0,0,0,0,497,G85228QD,1882.6825
8,5,0,0,0,0,0,0,0,0,749,G31936TA,1519.566
9,6,1,2,0,0,0,0,0,0,624,G26915XM,2450.8941
2,1,0,2,0,0,0,1,0,0,784,G26915XM,1007.3442
2,1,0,2,0,0,0,2,0,0,785,G26915XM,1049.3548
2,1,0,1,0,0,0,1,0,0,782,G26915XM,716.2488
9,4,0,2,0,0,0,0,0,0,712,G48414YA,2222.783
9,4,1,1,0,0,0,0,0,0,676,G84452RH,2077.7455
9,4,1,2,0,0,0,0,0,0,448,G22310AV,2368.8409
9,4,0,1,0,0,0,0,0,0,393,G06356OH,1931.6876
8,4,1,1,0,0,0,0,0,0,173,G14994KB,1915.6927
2,2,0,1,1,0,0,0,0,0,743,G14994KB,795.2216
5,3,1,1,1,0,0,0,0,0,387,G14994KB,1468.4645
5,3,0,1,1,0,0,0,0,0,107,G14994KB,1322.4066
4,3,1,1,1,0,0,0,0,0,612,G14994KB,1306.4117
2,1,0,1,1,0,0,0,0,0,616,G14994KB,754.195
3,1,0,1,0,0,0,0,0,0,276,G49644CL,836.291
4,0,2,0,0,0,0,0,0,0,473,G08158TI,958.3376
4,2,0,0,0,1,0,0,0,0,119,G08158TI,762.2543
3,1,0,0,0,1,0,0,0,0,48,G08158TI,559.1749
5,3,1,0,0,1,0,0,0,0,57,G08158TI,1111.3916
7,5,2,0,0,0,0,0,0,0,44,G08158TI,1649.629
5,3,0,0,0,1,0,0,0,0,297,G08158TI,965.3337
3,2,0,2,1,0,0,0,0,0,496,G08158TI,1248.3698
6,2,1,1,0,0,0,0,0,0,175,G13661VV,1509.5339
6,2,1,0,0,0,0,0,0,0,345,G00406II,1218.4385
10,4,0,0,0,0,0,0,0,0,600,G65092SV,1802.645
7,3,0,0,0,0,0,0,0,0,452,G23453IV,1275.46
5,3,2,0,1,0,0,0,0,0,71,G23453IV,1323.427
7,4,0,0,0,0,0,0,0,0,500,G23453IV,1316.4866
7,4,0,3,0,0,0,0,0,0,401,G36447PT,2189.7728
5,3,0,3,0,0,0,0,0,0,552,G36447PT,1824.6406
4,3,0,2,0,0,0,0,0,0,719,G36447PT,1371.4924
6,3,3,1,0,0,0,0,0,0,770,G36447PT,1842.6763
1,0,0,1,0,0,0,0,0,0,117,G36447PT,471.1588
3,0,0,0,0,0,0,0,0,0,234,G99375FM,504.169
11,5,1,1,0,0,0,0,0,0,395,G81263BG,2442.8777
9,4,1,0,0,0,0,0,0,0,205,G23863VK,1786.6501
11,5,1,0,0,0,0,0,0,0,583,G72797UR,2151.7823
11,5,1,2,0,0,0,0,0,0,127,G11629QQ,2733.9731
10,5,1,2,0,0,0,0,0,0,678,G91473PK,2571.9203
10,5,1,1,0,0,0,0,0,0,439,G02030ZB,2280.8249
10,5,1,0,0,0,0,0,0,0,35,G91636VS,1989.7295
0,0,1,0,0,0,0,0,0,0,597,G91636VS,164.0685
6,3,1,0,1,0,0,0,0,0,445,G91636VS,1339.4219
29,0,31,0,0,0,1,0,0,0,900,G91636VS,9259.3524
28,0,30,0,0,0,1,0,0,0,899,G91636VS,8951.2417
12,6,0,0,0,0,0,0,0,0,10,G78790NZ,2208.8038
10,5,0,0,0,0,0,0,0,0,277,G79568CQ,1843.6716
9,4,0,4,0,0,0,0,0,0,143,G57173NZ,2804.9738
9,4,0,3,0,0,0,0,0,0,60,G28916LJ,2513.8784
1,0,1,0,0,0,0,0,0,0,586,G28916LJ,326.1213
1,0,0,0,0,0,0,0,1,0,91,G28916LJ,312.1057
1,0,0,0,0,0,0,0,2,0,147,G28916LJ,444.148
