id	glytoucan_id	format_glyconnect	format_numeric	format_condensed	format_byonic	mass_monoisotopic	reviewed
584	G29931IJ	HexNAc:1 Kdn:1	0,1,0,0,0,0,0,0,1,0,0,0,0,0	N1K1	HexNAc(1)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	471.1589	True
339	G29931IJ	Hex:1 HexNAc:2 Su:1	1,2,0,0,0,0,1,0,0,0,0,0,0,0	H1N2s1	HexNAc(2)Hex(1)Sulfo(1)	666.179	True
707	G29931IJ	Hex:3 HexNAc:1 dHex:1 Su:1	3,1,1,0,0,0,1,0,0,0,0,0,0,0	H3N1F1s1	HexNAc(1)Hex(3)dHex(1)Sulfo(1)	933.2631	True
283	G29931IJ	Hex:2 HexNAc:3 dHex:3	2,3,3,0,0,0,0,0,0,0,0,0,0,0	H2N3F3	HexNAc(3)Hex(2)dHex(3)	1389.5281	True
357	G29931IJ	Hex:3 HexNAc:3 dHex:2	3,3,2,0,0,0,0,0,0,0,0,0,0,0	H3N3F2	HexNAc(3)Hex(3)dHex(2)	1405.523	True
648	G81295CK	Hex:4 HexNAc:4	4,4,0,0,0,0,0,0,0,0,0,0,0,0	H4N4	HexNAc(4)Hex(4)	1478.5394	True
157	G81295CK	Hex:2 HexNAc:3 dHex:4	2,3,4,0,0,0,0,0,0,0,0,0,0,0	H2N3F4	HexNAc(3)Hex(2)dHex(4)	1535.586	True
202	G94854LT	Hex:3 HexNAc:3 dHex:1	3,3,1,0,0,0,0,0,0,0,0,0,0,0	H3N3F1	HexNAc(3)Hex(3)dHex(1)	1259.4651	True
138	G51287LK	Hex:3 HexNAc:4 dHex:2	3,4,2,0,0,0,0,0,0,0,0,0,0,0	H3N4F2	HexNAc(4)Hex(3)dHex(2)	1608.6024	True
677	G51287LK	Hex:3 HexNAc:3 dHex:3	3,3,3,0,0,0,0,0,0,0,0,0,0,0	H3N3F3	HexNAc(3)Hex(3)dHex(3)	1551.5809	True
281	G51287LK	Hex:2 HexNAc:3 dHex:1 NeuAc:1	2,3,1,1,0,0,0,0,0,0,0,0,0,0	H2N3F1S1	HexNAc(3)Hex(2)dHex(1)NeuAc(1)	1388.5077	True
388	G47681UP	Hex:3 HexNAc:3 NeuAc:1	3,3,0,1,0,0,0,0,0,0,0,0,0,0	H3N3S1	HexNAc(3)Hex(3)NeuAc(1)	1404.5026	True
316	G47681UP	Hex:2 HexNAc:3 dHex:2 NeuAc:1	2,3,2,1,0,0,0,0,0,0,0,0,0,0	H2N3F2S1	HexNAc(3)Hex(2)dHex(2)NeuAc(1)	1534.5656	True
106	G47681UP	Hex:3 HexNAc:3 dHex:1 NeuAc:1	3,3,1,1,0,0,0,0,0,0,0,0,0,0	H3N3F1S1	HexNAc(3)Hex(3)dHex(1)NeuAc(1)	1550.5605	True
355	G47681UP	Hex:3 HexNAc:3 dHex:4	3,3,4,0,0,0,0,0,0,0,0,0,0,0	H3N3F4	HexNAc(3)Hex(3)dHex(4)	1697.6388	True
742	G49874UX	Hex:3 HexNAc:4 dHex:1	3,4,1,0,0,0,0,0,0,0,0,0,0,0	H3N4F1	HexNAc(4)Hex(3)dHex(1)	1462.5445	True
222	G49874UX	Hex:2 HexNAc:4 dHex:2	2,4,2,0,0,0,0,0,0,0,0,0,0,0	H2N4F2	HexNAc(4)Hex(2)dHex(2)	1446.5496	True
747	G49874UX	Hex:2 HexNAc:4 dHex:3	2,4,3,0,0,0,0,0,0,0,0,0,0,0	H2N4F3	HexNAc(4)Hex(2)dHex(3)	1592.6075	True
99	G49874UX	HexNAc:3 dHex:4 Kdn:1	0,3,4,0,0,0,0,0,1,0,0,0,0,0	N3F4K1	HexNAc(3)dHex(4)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	1461.5493	True
432	G49874UX	Hex:1 HexNAc:3 dHex:3 Kdn:1	1,3,3,0,0,0,0,0,1,0,0,0,0,0	H1N3F3K1	HexNAc(3)Hex(1)dHex(3)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	1477.5442	True
604	G49874UX	Hex:1 HexNAc:3 dHex:1 Kdn:1	1,3,1,0,0,0,0,0,1,0,0,0,0,0	H1N3F1K1	HexNAc(3)Hex(1)dHex(1)Kdn(1) % this composition contains Kdn (not defined residue for Byonic)	1185.4284	True
